,episode_rewards,episode_lengths
813,-181.4419800845678,72
814,-169.7603967125176,143
815,-193.09522269681221,39
816,-189.39950177423228,30
817,-179.72021204376784,68
818,-188.2114757903411,37
819,-197.42079211472566,29
820,-177.23708382958677,58
821,-183.72372729371008,48
822,-175.42397422232085,97
823,-171.72189878508183,130
824,-196.65127537242282,23
825,-188.36606991931393,31
826,-172.9193690439245,47
827,-176.87906217070577,52
828,-171.47544606962623,74
829,-170.28520362994288,135
830,-170.31359246418782,70
831,-169.93956491069216,71
832,-164.16456915163994,94
833,-179.21090363221379,63
834,-177.807993895397,61
835,-148.66475389496145,169
836,-185.0050932517254,100
837,-72.70590449716619,216
838,-77.3736156190213,287
839,-161.95052795395122,135
840,-101.11978793873381,313
841,-148.26559526661336,194
842,-198.22027054077085,32
843,-190.76580099528272,38
844,-189.781991293131,31
845,-180.73445902079058,67
846,-175.5886629713376,101
847,-178.71943492632283,288
848,-172.83175342561628,163
849,-173.78490866639407,91
850,-184.33050278818098,61
851,-158.3194254269897,122
852,-175.0255607479683,97
853,-141.90137515123334,148
854,-177.61576604012492,61
855,-168.86076525109738,121
856,-154.27727453430592,249
857,-190.10518495297995,40
858,-179.60263647349518,41
859,-172.15866709801472,81
860,-181.31358872811205,77
861,-187.6783927111043,97
862,-154.86378670803992,104
863,-156.32556028603096,117
864,-172.63399635866466,89
865,-175.05167770931635,103
866,-191.92838425105282,67
867,-177.89432952717857,27
868,-175.04552586197553,102
869,-178.6553429811956,61
870,-194.51775083540335,21
871,-180.17493093125174,67
872,-190.7965941273385,39
873,-172.5677265672495,81
874,-178.01000766168517,56
875,-155.56900611250708,174
876,-117.6214279737721,124
877,-181.27657383867682,76
878,-160.9439870929564,76
879,-157.7061282674474,108
880,-172.12672901249604,82
881,-136.08025227913862,239
882,-146.86321375647614,116
883,-86.96500639534551,339
884,-180.89368691484674,127
885,-155.91151528853248,106
886,-180.39780837160876,66
887,-126.85561299731641,192
888,-184.83332952291414,96
889,-148.70697738765045,122
890,-128.73792087159507,163
