episode,avg_reward,avg_v,episode_time,distance_traveled
244,-17.996075132760133,1.8574303,25.157,0.0
245,0.3294337767608436,2.703413,25.185,2.842170943040401e-14
246,0.5238284362364624,2.5170522,25.392,1.4210854715202004e-13
247,0.30000249951574753,2.509723,25.504,1.153538256668668e-13
248,-9.524070379387263,3.2327657,25.548,1.8198773922301764e-13
249,-13.886527122908847,2.1978977,25.606,2.542115010249063e-13
250,0.31644112196598895,2.7919967,25.637,5.61134672164917
251,-7.201897062592816,2.747594,25.752,6.0598554611206055
252,0.6247082691350765,4.221718,25.835,1.1368683772161603e-13
253,-4.957131970852505,3.1624973,25.9,1.1368683772161603e-13
254,-8.81606499246012,2.6936278,26.022,6.029426097869873
255,1.1647915710534231,3.8855586,26.106,1.1368683772161603e-13
256,-8.733746625590337,2.3569815,26.145,1.2710575051245315e-13
257,0.36679096961583935,2.878799,26.196,3.4224270010867197e-13
258,-10.830894033129235,2.44397,26.328,1.2710575051245315e-13
259,-6.7559098434901355,2.3367534,26.375,1.607774650176294e-13
260,0.36423810570175913,1.751357,26.41,6.45844030380249
261,-14.964768167199047,2.2019527,26.57,6.391808032989502
262,-7.0937815956842405,3.1810124,26.616,2.307076513337336e-13
263,-14.965019896593226,3.222013,26.656,2.3437141442005094e-13
264,-14.917723127737332,3.2879121,26.779,4.471048355102539
265,-28.474231270392725,1.7703257,26.951,5.94753885269165
266,-14.86465307848372,2.3680015,26.994,9.947598300641403e-14
267,-8.72277977237399,1.98881,27.032,1.1637510345576668e-13
268,-29.649449462123936,1.2687976,27.179,1.1368683772161603e-13
269,-2.055304976201233,4.140049,27.305,2.8421709430404007e-13
270,-16.266634904580513,2.9217908,27.369,2.049518595201999e-13
271,0.38294597333366787,2.1155214,27.482,5.921372413635254
272,0.9153626312856719,4.690279,27.624,3.5950935154197006e-13
273,0.3700284308678383,2.4376264,27.678,3.788618564605713
274,0.5103183225730153,4.116143,27.735,2.542115010249063e-13
275,0.5880738989021578,2.6570134,27.867,3.316033363342285
276,0.4859036603045367,3.0302339,27.918,6.414245128631592
277,0.4310519981404024,2.8663783,27.957,6.010812759399414
278,-8.595840119959034,2.4988732,28.084,5.969135761260986
279,-4.76368701090902,3.5373178,28.135,6.91802453994751
280,0.5993086478845192,2.6921868,28.282,2.4868995751603507e-14
281,-7.0344247194771405,4.8418674,28.334,3.5950935154197006e-13
282,0.5219619537193011,2.497558,28.461,5.962964057922363
283,-26.07691790611831,2.1258316,28.509,1.2710575051245315e-13
284,0.307850384880385,2.043751,28.561,1.2710575051245315e-13
285,-7.418343673441921,2.2187912,28.619,5.577763557434082
286,0.7033028875709092,2.682294,28.773,4.491968631744385
287,-12.864355630987799,1.678266,28.832,2.3714363805993344e-13
288,0.531614534091528,3.418544,28.948,3.410605131648481e-13
289,-6.581228883201591,3.2344317,28.989,1.2710575051245315e-13
290,-49.681095984172806,1.3833977,29.032,1.607774650176294e-13
291,-10.071227162822879,3.177841,29.181,1.9184653865522705e-13
292,-5.62193978121765,3.187071,29.229,5.64877462387085
293,0.39412399254382197,2.2417536,29.277,6.572520305780927e-14
294,-9.561120152374622,3.425637,29.33,14.911040306091309
295,-18.6207994073943,1.2627969,29.451,4.673439979553223
296,-5.302089928971448,3.0426183,29.504,4.638308525085449
297,-27.201010115784364,2.0910406,29.569,3.1166838857996093e-13
298,-4.009737242462884,3.6195173,29.731,1.1368683772161603e-13
299,-4.814533857386476,1.8244675,29.789,6.350995063781738
300,0.624979167756859,3.2813146,29.832,6.807893753051758
301,0.573352800604792,1.755425,29.887,1.1368683772161603e-13
