frame,game_cnt,time,v,ey,ephi,s,reward,reward_component0,reward_component1,reward_component2
1524,209,555.06,7.636363636363639,1.8387289233637156,0.08822642129833058,13.08789272926807,-0.12306517918456578,-0.12000870283762956,-0.0030564763469362252,0
1536,209,555.13,7.636363636363639,2.128318648342227,0.14037390462601884,13.08789272926807,-0.14269164108626908,-0.1386439394892817,-0.004047701596987387,0
1548,209,555.2,7.0909090909090935,2.5339778335055514,0.1950900297449274,19.793163628785187,-0.1706759292802602,-0.16482322838791238,-0.005852700892347821,0
1560,209,555.3,6.72727272727273,2.986802122700264,0.20605265883177237,19.793163628785187,-0.2009254826338698,-0.19466135772088547,-0.0062641249129843325,0
1572,209,555.38,6.8000000000000025,3.38312335053773,0.1548532318780249,19.793163628785187,-0.22614591374365262,-0.2214177716392807,-0.004728142104371908,0
1584,209,555.45,7.454545454545458,3.6833394336187415,0.13283766942868613,26.506601527294183,-0.24532625276555553,-0.24142317903636323,-0.003903073729192301,0
1596,209,555.53,7.636363636363639,4.001708323908845,0.124651963860829,26.506601527294183,-0.2661813210879745,-0.2624417621721496,-0.0037395589158248695,0
1608,209,555.61,8.727272727272732,4.234590186699458,0.03976389140785441,26.506601527294183,-0.2802804033192792,-0.2786819970715522,-0.0015984062477270155,0
1620,209,555.68,10.290909090909096,4.241749421226655,-0.0006492302837060038,33.148450839094366,-0.27991639662544676,-0.28001551299789895,9.911637245216376e-05,0
1632,209,555.75,10.981818181818188,4.213194150302346,-0.026814840533612383,33.148450839094366,-0.27780506472456745,-0.27853024062787946,0.0007251759033120164,0
1644,209,555.85,12.800000000000008,3.9955566601911423,-0.07918525798253606,39.64855094951011,-0.2631180727042152,-0.2654158079559371,0.0022977352517218864,0
1656,209,555.92,14.436363636363646,3.427025832406334,-0.11343668869746804,45.95946569246512,-0.22560743032440023,-0.22908719636140024,0.003479766037000016,0
1668,209,556.0,15.927272727272738,2.575998161535867,-0.2157496132289891,45.95946569246512,-0.16949628648365692,-0.17604431705007062,0.006548030566413692,0
1680,209,556.07,18.218181818181833,1.357128986615529,-0.26258963920434386,52.07307743731761,-0.08990349231532153,-0.09800337095963588,0.00809987864431434,0
1692,209,556.2,21.34545454545456,-0.36987992228640737,-0.3044514719171949,58.04163856337393,0.022321319021678578,0.012755754555126899,0.00956556446655168,0
1704,209,556.29,21.854545454545473,-2.489355899335942,-0.35144300579585064,63.991936789170076,0.16158490208624157,0.15097011359968895,0.010614788486552626,0
1716,209,556.4,22.727272727272744,-5.134749266143763,-0.41234002546640114,76.24430165682476,20.33522813147663,0.32271597996060863,0.012512151516022476,20
1728,210,556.6,0.7636363636363634,-0.07369471258543488,-0.10880926472568575,7.703378705833963e-14,0.006648122040794478,0.0036479311445749107,0.0030001908962195675,0
1740,210,556.69,1.2000000000000002,-0.3895400300702341,-0.20826321050912178,7.703378705833963e-14,0.02973780970786152,0.023665053261996683,0.006072756445864838,0
1752,210,556.78,1.5636363636363642,-0.8281611594885031,-0.24611177945776985,7.703378705833963e-14,0.05929489390286961,0.05191154051913651,0.007383353383733095,0
1764,210,556.91,1.3454545454545457,-1.280417985980112,-0.26941373418290127,7.703378705833963e-14,0.09013846339090945,0.08214344445474511,0.007995018936164335,0
1776,210,557.0,1.272727272727273,-1.7074447383133293,-0.2664974681847494,7.703378705833963e-14,0.1185359273124762,0.11045354122842811,0.008082386084048081,0
1788,210,557.09,2.1454545454545464,-2.2086465026355886,-0.22002228704584237,7.703378705833963e-14,0.14896086922258142,0.14218670524761337,0.0067741639749680435,0
1800,210,557.17,4.363636363636367,-3.1871138727036854,-0.08562596865909677,7.703378705833963e-14,0.20592426846750717,0.20310100001686088,0.0028232684506462745,0
1812,210,557.25,7.5272727272727336,-0.3668831551036316,0.04935369259095612,6.468711097034316,0.023409304278315522,0.02480776749486907,-0.001398463216553547,0
1824,210,557.32,11.454545454545464,-0.13337238563328588,0.09749142745435924,6.468711097034316,0.007762805195302707,0.010766534932938368,-0.0030037297376356606,0
1836,210,557.39,13.018181818181828,0.20765483730252177,0.09990256781806472,13.087892729268077,-0.014385954300569426,-0.01154409397913323,-0.002841860321436198,0
1848,210,557.48,13.890909090909103,0.7484758085191101,0.13529521369293773,13.087892729268077,-0.05019517428244549,-0.04613631787165736,-0.004058856410788132,0
